,model,oxide_main_minion,conjure,oxide_main_sat,oxide_main_sat_direct,oxide_main_sat_order,oxide_main_treemorph
89,models/custom/STARIS_2022/basic/matrices/matrix-flatten/matrix-flatten.essence,-1.0,0.7551806019619107,-1.0,,,
90,models/custom/STARIS_2022/basic/maximising/max.essence,-1.0,0.7125658110016957,-1.0,,,
91,models/custom/STARIS_2022/basic/modulus/mod01.essence,0.07195904396940023,0.733350106049329,-1.0,,,
92,models/custom/STARIS_2022/basic/set-operators/in-type-error-02/in.essence,-1.0,-1.0,-1.0,,,
93,models/custom/STARIS_2022/basic/set-operators/in-type-error-03/in.essence,-1.0,-1.0,-1.0,,,
94,models/custom/STARIS_2022/basic/multiset-operators/hist-basic/hist.essence,-1.0,0.7306528310291469,-1.0,,,
95,models/custom/STARIS_2022/basic/multiset-operators/min/min.essence,-1.0,0.7006873730570078,-1.0,,,
96,models/custom/STARIS_2022/basic/multiset-operators/max/max.essence,-1.0,0.7099667359143496,-1.0,,,
97,models/custom/STARIS_2022/basic/tuples/tuple-addition-error/addition.essence,-1.0,-1.0,-1.0,,,
98,models/custom/STARIS_2022/basic/partitions/partition-01/apart.essence,-1.0,0.7085832830052823,-1.0,,,
99,models/custom/STARIS_2022/basic/tuples/tuple-bounds-error/bound.essence,-1.0,-1.0,-1.0,,,
100,models/custom/STARIS_2022/basic/partitions/partition-02/union.essence,-1.0,0.7442061180481687,-1.0,,,
101,models/custom/STARIS_2022/basic/multiset-operators/multiset-basic/multiset-basic.essence,-1.0,0.806478570913896,-1.0,,,
102,models/custom/STARIS_2022/basic/type-conversion-operators/toInt-error/toInt-error.essence,-1.0,-1.0,-1.0,,,
103,models/custom/STARIS_2022/basic/partitions/partition-03/union-nosolution.essence,-1.0,0.7366030890261754,-1.0,,,
104,models/custom/STARIS_2022/basic/pretty/pretty.essence,0.07199559290893376,0.7167662660358474,-1.0,,,
105,models/custom/STARIS_2022/basic/record-simple/record.essence,-1.0,0.755469014053233,-1.0,,,
106,models/custom/STARIS_2022/operation-type-errors/allDiff-type-error/allDiff-type-error.essence,-1.0,-1.0,-1.0,,,
107,models/custom/STARIS_2022/operation-type-errors/allDiffExcept-type-error-01/allDiffExcept-type-error.essence,-1.0,-1.0,-1.0,,,
108,models/custom/STARIS_2022/operation-type-errors/allDiffExcept-type-error-02/allDiffExcept-type-error.essence,-1.0,-1.0,-1.0,,,
109,models/custom/STARIS_2022/basic/set-operators/in-type-error-01/in-type-error.essence,-1.0,-1.0,-1.0,,,
110,models/custom/STARIS_2022/basic/set-comprehension/set.essence,-1.0,0.7708050990477204,-1.0,,,
111,models/custom/STARIS_2022/basic/set-operators/basic-set/basic-set.essence,0.06703307095449418,0.6930293249897659,-1.0,,,
112,models/custom/STARIS_2022/operation-type-errors/and-type-error/and-type-error.essence,-1.0,-1.0,-1.0,,,
113,models/custom/STARIS_2022/operation-type-errors/apart-type-error/apart-type-error.essence,-1.0,-1.0,-1.0,,,
114,models/custom/STARIS_2022/operation-type-errors/defined-type-error/defined-type-error.essence,-1.0,-1.0,-1.0,,,
115,models/custom/STARIS_2022/operation-type-errors/factorial-type-error/factorial-type-error.essence,-1.0,-1.0,-1.0,,,
116,models/custom/STARIS_2022/basic/set-with-attributes/set.essence,-1.0,0.737135928007774,-1.0,,,
117,models/custom/STARIS_2022/operation-type-errors/flatten-type-error-01/flatten-type-error.essence,-1.0,-1.0,-1.0,,,
118,models/custom/STARIS_2022/basic/set01/set.essence,0.07713428500574082,0.7572583149885759,-1.0,,,
119,models/custom/STARIS_2022/operation-type-errors/flatten-type-error-02/flatten-type-error.essence,-1.0,-1.0,-1.0,,,
120,models/custom/STARIS_2022/basic/simple-assignment/simple.essence,0.0631233969470486,0.7294345760019496,0.05135870003141463,,,
121,models/custom/STARIS_2022/operation-type-errors/freq-type-error/freq-type-error.essence,-1.0,-1.0,-1.0,,,
122,models/custom/STARIS_2022/basic/such-that/such-that.essence,0.07855563005432487,0.7024932820349932,-1.0,,,
123,models/custom/STARIS_2022/operation-type-errors/hist-type-error/hist-type-error.essence,-1.0,-1.0,-1.0,,,
124,models/custom/STARIS_2022/basic/tuples/tuple-basic/tuple.essence,0.08568347501568496,0.683204438071698,-1.0,,,
125,models/custom/STARIS_2022/operation-type-errors/in-type-error-01/in-type-error.essence,-1.0,-1.0,-1.0,,,
126,models/custom/STARIS_2022/operation-type-errors/in-type-error-02/in-type-error.essence,-1.0,-1.0,-1.0,,,
127,models/custom/STARIS_2022/basic/tuples/tuple-index/tuple.essence,0.0735979649471119,0.6952635949710384,-1.0,,,
128,models/custom/STARIS_2022/operation-type-errors/inverse-type-error/inverse-type-error.essence,-1.0,-1.0,-1.0,,,
129,models/custom/STARIS_2022/basic/type-conversion-operators/toInt-basic/toInt.essence,0.07601081999018788,0.702425558003597,0.07395878003444523,,,
130,models/custom/STARIS_2022/operation-type-errors/max-type-error-01/max-type-error.essence,-1.0,-1.0,-1.0,,,
131,models/custom/STARIS_2022/operation-type-errors/max-type-error-02/max-type-error.essence,-1.0,-1.0,-1.0,,,
132,models/custom/STARIS_2022/operation-type-errors/min-type-error-01/min-type-error.essence,-1.0,-1.0,-1.0,,,
133,models/custom/STARIS_2022/basic/type-conversion-operators/toSet-basic/toSet.essence,-1.0,0.7012490690685809,-1.0,,,
134,models/custom/STARIS_2022/operation-type-errors/min-type-error-02/min-type-error.essence,-1.0,-1.0,-1.0,,,
135,models/custom/STARIS_2022/operation-type-errors/negate-type-error/negate-type-error.essence,-1.0,-1.0,-1.0,,,
136,models/custom/STARIS_2022/basic/type-conversion-operators/toSet-sum/toSet-sum.essence,-1.0,0.7055095710093156,-1.0,,,
137,models/custom/STARIS_2022/operation-type-errors/not-type-error/not-type-error.essence,-1.0,-1.0,-1.0,,,
138,models/custom/STARIS_2022/basic/type-conversion-operators/toMSet/toMSet.essence,-1.0,0.785834199981764,-1.0,,,
139,models/custom/STARIS_2022/demo/first_test/first.essence,-1.0,0.6971202689455822,-1.0,,,
140,models/custom/STARIS_2022/operation-type-errors/or-type-error/or-type-error.essence,-1.0,-1.0,-1.0,,,
141,models/custom/STARIS_2022/operation-type-errors/participants-type-error/participants-type-error.essence,-1.0,-1.0,-1.0,,,
142,models/custom/STARIS_2022/operation-type-errors/parts-type-error/parts-type-error.essence,-1.0,-1.0,-1.0,,,
143,models/custom/STARIS_2022/operation-type-errors/party-type-error-02/party-type-error.essence,-1.0,-1.0,-1.0,,,
144,models/custom/STARIS_2022/operation-type-errors/party-type-error-03/party-type-error.essence,-1.0,-1.0,-1.0,,,
145,models/custom/STARIS_2022/operation-type-errors/powerSet-type-error/powerSet-type-error.essence,-1.0,-1.0,-1.0,,,
146,models/custom/STARIS_2022/operation-type-errors/pred-type-error/pred-type-error.essence,-1.0,-1.0,-1.0,,,
147,models/custom/STARIS_2022/operation-type-errors/product-type-error-01/product-type-error.essence,-1.0,-1.0,-1.0,,,
148,models/custom/STARIS_2022/operation-type-errors/product-type-error-02/product-type-error.essence,-1.0,-1.0,-1.0,,,
149,models/custom/STARIS_2022/operation-type-errors/range-type-error/range-type-error.essence,-1.0,-1.0,-1.0,,,
150,models/custom/STARIS_2022/operation-type-errors/restrict-type-error/restrict-type-error.essence,-1.0,-1.0,-1.0,,,
151,models/custom/STARIS_2022/operation-type-errors/subsequence-type-error/subsequence-type-error.essence,-1.0,-1.0,-1.0,,,
152,models/custom/STARIS_2022/operation-type-errors/substring-type-error/substring-type-error.essence,-1.0,-1.0,-1.0,,,
153,models/custom/STARIS_2022/operation-type-errors/succ-type-error/succ-type-error.essence,-1.0,-1.0,-1.0,,,
154,models/custom/STARIS_2022/operation-type-errors/sum-type-error-01/sum-type-error.essence,-1.0,-1.0,-1.0,,,
155,models/custom/STARIS_2022/operation-type-errors/sum-type-error-02/sum-type-error.essence,-1.0,-1.0,-1.0,,,
156,models/custom/STARIS_2022/operation-type-errors/toInt-type-error/toInt-type-error.essence,-1.0,-1.0,-1.0,,,
157,models/custom/STARIS_2022/operation-type-errors/toMSet-type-error/toMSet-type-error.essence,-1.0,-1.0,-1.0,,,
158,models/custom/STARIS_2022/operation-type-errors/toSet-type-error/toSet-type-error.essence,-1.0,-1.0,-1.0,,,
159,models/custom/STARIS_2022/operation-type-errors/party-type-error-01/party-type-error.essence,0.06936266995035112,0.5847223900491372,0.04024164704605937,,,
160,models/custom/STARIS_2022/operation-type-errors/xor-type-error/xor-type-error.essence,-1.0,-1.0,-1.0,,,
161,models/custom/STARIS_2022/symmetry-detection/allDiff-symmetry-detection/allDiff-symmetry-detection.essence,0.0755168319446966,0.6352811669930816,-1.0,,,
162,models/custom/STARIS_2022/symmetry-detection/allDiffExcept-symmetry-detection/allDiffExcept-symmetry-detection.essence,-1.0,0.6370603679679334,-1.0,,,
163,models/custom/STARIS_2022/symmetry-detection/and-symmetry-detection/and-symmetry-detection.essence,0.07572384993545711,0.6612098010955378,0.06109961390029639,,,
164,models/custom/STARIS_2022/symmetry-detection/apart-symmetry-detection/apart-symmetry-detection.essence,0.07477374596055597,0.6568965130718425,-1.0,,,
165,models/custom/STARIS_2022/symmetry-detection/div-symmetry-detection/div-symmetry-detection.essence,-1.0,0.6223775889957324,-1.0,,,
166,models/custom/STARIS_2022/symmetry-detection/defined-symmetry-detection/defined-symmetry-detection.essence,-1.0,0.663004425005056,-1.0,,,
167,models/custom/STARIS_2022/symmetry-detection/eq-symmetry-detection/eq-symmetry-detection.essence,0.07066231197677553,0.6852008320856839,0.06201413692906499,,,
168,models/custom/STARIS_2022/symmetry-detection/factorial-symmetry-detection/factorial-symmetry-detection.essence,-1.0,0.6791813609888777,-1.0,,,
169,models/custom/STARIS_2022/symmetry-detection/flatten-symmetry-detection/flatten-symmetry-detection.essence,-1.0,0.6818517539650202,-1.0,,,
170,models/custom/STARIS_2022/symmetry-detection/freq-symmetry-detection/freq-symmetry-detection.essence,-1.0,0.7038507590768859,-1.0,,,
171,models/custom/STARIS_2022/symmetry-detection/geq-symmetry-detection/geq-symmetry-detection.essence,0.07631461194250733,0.7043505989713594,0.04386271396651864,,,
172,models/custom/STARIS_2022/symmetry-detection/gt-symmetry-detection/gt-symmetry-detection.essence,0.07925545005127788,0.7162519759731367,0.05133376002777368,,,
173,models/custom/STARIS_2022/symmetry-detection/in-symmetry-detection/in-symmetry-detection.essence,0.06934734398964792,0.6969561140285805,-1.0,,,
174,models/custom/STARIS_2022/symmetry-detection/hist-symmetry-detection/hist-symmetry-detection.essence,-1.0,0.7508363620145246,-1.0,,,
175,models/custom/STARIS_2022/symmetry-detection/intersect-symmetry-detection/intersect-symmetry-detection.essence,-1.0,0.7440067350398749,-1.0,,,
176,models/custom/STARIS_2022/symmetry-detection/inverse-symmetry-detection/inverse-symmetry-detection.essence,-1.0,0.716250294004567,-1.0,,,
177,models/custom/STARIS_2022/symmetry-detection/leq-symmetry-detection/leq-symmetry-detection.essence,0.06808662391267717,0.7468627149937674,0.04800291103310883,,,
178,models/custom/STARIS_2022/symmetry-detection/lt-symmetry-detection/lt-symmetry-detection.essence,0.07354201201815158,0.7410111010540277,0.05548752401955426,,,
179,models/custom/STARIS_2022/symmetry-detection/max-symmetry-detection/max-symmetry-detection.essence,-1.0,0.7143115779617801,-1.0,,,
180,models/custom/STARIS_2022/symmetry-detection/min-symmetry-detection/min-symmetry-detection.essence,-1.0,0.7186454000184312,-1.0,,,
181,models/custom/STARIS_2022/symmetry-detection/minus-symmetry-detection/minus-symmetry-detection.essence,0.07472178107127547,0.7157077710144222,0.05732939695008099,,,
182,models/custom/STARIS_2022/symmetry-detection/mod-symmetry-detection/mod-symmetry-detection.essence,0.07386115600820631,0.7728793680435047,-1.0,,,
183,models/custom/STARIS_2022/symmetry-detection/negate-symmetry-detection/negate-symmetry-detection.essence,0.07128786202520132,0.6944674749393016,0.06736498302780092,,,
184,models/custom/STARIS_2022/symmetry-detection/neq-symmetry-detection/neq-symmetry-detection.essence,0.06300128507427871,0.7039988239994273,0.05095918907318264,,,
185,models/custom/STARIS_2022/symmetry-detection/not-symmetry-detection/not-symmetry-detection.essence,0.07431781094055623,0.7254258210305125,0.04677749006077647,,,
186,models/custom/STARIS_2022/symmetry-detection/or-symmetry-detection/or-symmetry-detection.essence,0.0770145800197497,0.7117374769877642,0.06385836296249181,,,
187,models/custom/STARIS_2022/symmetry-detection/participants-symmetry-detection/participants-symmetry-detection.essence,-1.0,0.7390523540088907,-1.0,,,
188,models/custom/STARIS_2022/symmetry-detection/parts-symmetry-detection/parts-symmetry-detection.essence,-1.0,0.7399768329923972,-1.0,,,
189,models/custom/STARIS_2022/symmetry-detection/pow-symmetry-detection/pow-symmetry-detection.essence,0.0671726930886507,0.701883303001523,-1.0,,,
190,models/custom/STARIS_2022/symmetry-detection/party-symmetry-detection/party-symmetry-detection.essence,-1.0,0.7258773879148066,-1.0,,,
191,models/custom/STARIS_2022/symmetry-detection/pred-symmetry-detection/pred-symmetry-detection.essence,-1.0,0.7314178670058027,-1.0,,,
192,models/custom/STARIS_2022/symmetry-detection/product-symmetry-detection/product-symmetry-detection.essence,0.06522575300186872,0.7200888990191743,0.08015032100956887,,,
193,models/custom/STARIS_2022/symmetry-detection/powerSet-symmetry-detection/powerSet-symmetry-detection.essence,-1.0,0.8291665469296277,-1.0,,,
194,models/custom/STARIS_2022/symmetry-detection/range-symmetry-detection/range-symmetry-detection.essence,-1.0,0.7226981379790232,-1.0,,,
195,models/custom/STARIS_2022/symmetry-detection/restrict-symmetry-detection/restrict-symmetry-detection.essence,-1.0,0.7788568770047277,-1.0,,,
196,models/custom/STARIS_2022/symmetry-detection/subsequence-symmetry-detection/subsequence-symmetry-detection.essence,-1.0,0.7243290740298107,-1.0,,,
197,models/custom/STARIS_2022/symmetry-detection/subset-symmetry-detection/subset-symmetry-detection.essence,0.07068801100831479,0.7543089609825984,-1.0,,,
198,models/custom/STARIS_2022/symmetry-detection/subsetEq-symmetry-detection/subsetEq-symmetry-detection.essence,0.06896762095857412,0.7120574240107089,-1.0,,,
199,models/custom/STARIS_2022/symmetry-detection/substring-symmetry-detection/substring-symmetry-detection.essence,-1.0,0.7191463729832321,-1.0,,,
200,models/custom/STARIS_2022/symmetry-detection/supset-symmetry-detection/supset-symmetry-detection.essence,0.06709109304938465,0.6990242809988558,-1.0,,,
201,models/custom/STARIS_2022/symmetry-detection/sum-symmetry-detection/sum-symmetry-detection.essence,0.07208351604640484,0.7727139140479267,0.07276966399513185,,,
202,models/custom/STARIS_2022/symmetry-detection/supsetEq-symmetry-detection/supsetEq-symmetry-detection.essence,0.07835028506815434,0.7284658149583265,-1.0,,,
